"('08JD1096_001b', '08JD1096_001', '08JD1096', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'Va59', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1208_001b', '08JD1208_001', '08JD1208', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'Wf9', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1183_001b', '08JD1183_001', '08JD1183', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'Mo44', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1115_001b', '08JD1115_001', '08JD1115', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'CO255', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1314_001b', '08JD1314_001', '08JD1314', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'A661', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1161_001b', '08JD1161_001', '08JD1161', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'Ill.Hy', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1303_001b', '08JD1303_001', '08JD1303', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'A634', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1043_001b', '08JD1043_001', '08JD1043', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'B164', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1005_001b', '08JD1005_001', '08JD1005', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'B73Htrhm', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1121_001b', '08JD1121_001', '08JD1121', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'SG18', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1006_001b', '08JD1006_001', '08JD1006', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'W64A', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1182_001b', '08JD1182_001', '08JD1182', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'Il14H', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1171_001b', '08JD1171_001', '08JD1171', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'Oh43', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1003_001b', '08JD1003_001', '08JD1003', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'K64', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1418_001b', '08JD1418_001', '08JD1418', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'Va17', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1260_001b', '08JD1260_001', '08JD1260', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'Mo1W', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
