07PN0011_015x,07PN0011_015,07PN0011,07PN,07N11.15,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-35,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_016x,07PN0011_016,07PN0011,07PN,07N11.16,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-36,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_001x,07PN0012_001,07PN0012,07PN,07N12.01,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-41,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_002x,07PN0012_002,07PN0012,07PN,07N12.02,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-42,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_003x,07PN0012_003,07PN0012,07PN,07N12.03,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-43,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_004x,07PN0012_004,07PN0012,07PN,07N12.04,07N12,07N12.04 x B73,cross,07PN0002,B73,NULL,B73(3)/32-24-1-44,NULL,3,NULL,P30_Et4 BC,NULL,NULL
07PN0012_005x,07PN0012_005,07PN0012,07PN,07N12.05,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-45,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_006x,07PN0012_006,07PN0012,07PN,07N12.06,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-46,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_007x,07PN0012_007,07PN0012,07PN,07N12.07,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-47,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_009x,07PN0012_009,07PN0012,07PN,07N12.09,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-49,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_010x,07PN0012_010,07PN0012,07PN,07N12.10,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-50,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_011x,07PN0012_011,07PN0012,07PN,07N12.11,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-51,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_012x,07PN0012_012,07PN0012,07PN,07N12.12,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-52,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_013x,07PN0012_013,07PN0012,07PN,07N12.13,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-53,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_014x,07PN0012_014,07PN0012,07PN,07N12.14,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-54,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0012_015x,07PN0012_015,07PN0012,07PN,07N12.15,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-55,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
