"('09PN0418_001s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0418_002s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0418_003s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0418_004s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0418_005s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0418_006s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0418_007s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0420_001s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0420_002s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0420_003s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0420_004s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0420_005s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('10CH0072_002s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0072_004s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0072_005s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0072_006s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0072_007s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0072_008s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0072_009s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0072_010s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0072_011s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0073_001s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0073_002s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0073_004s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0073_005s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0073_006s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0073_007s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0073_008s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0074_002s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0074_004s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0074_005s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0074_006s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0074_007s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0074_008s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0074_009s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0074_010s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0074_011s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0075_002s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0075_003s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0075_004s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
"('10CH0075_006s', 'NULL', '6/27/2012', 'katharine_constas', '34', 'Dimmock', 'NULL', 'NULL')"
